Year,Month,Region,Product_Line,Sales_Budget,COGS_Budget,OpEx_Budget
2024,Jan,North,Electronics,2500000,1500000,250000
2024,Jan,North,Apparel,1900000,1140000,190000
2024,Jan,North,Food,1400000,840000,140000
2024,Jan,South,Electronics,2300000,1380000,230000
2024,Jan,South,Apparel,1700000,1020000,170000
2024,Jan,South,Food,1300000,780000,130000
2024,Jan,East,Electronics,2000000,1200000,200000
2024,Jan,East,Apparel,1500000,900000,150000
2024,Jan,East,Food,1100000,660000,110000
2024,Jan,West,Electronics,2700000,1620000,270000
2024,Jan,West,Apparel,2100000,1260000,210000
2024,Jan,West,Food,1600000,960000,160000
2024,Feb,North,Electronics,2550000,1530000,255000
2024,Feb,North,Apparel,1950000,1170000,195000
2024,Feb,North,Food,1450000,870000,145000
2024,Feb,South,Electronics,2350000,1410000,235000
2024,Feb,South,Apparel,1750000,1050000,175000
2024,Feb,South,Food,1350000,810000,135000
2024,Feb,East,Electronics,2050000,1230000,205000
2024,Feb,East,Apparel,1550000,930000,155000
2024,Feb,East,Food,1150000,690000,115000
2024,Feb,West,Electronics,2750000,1650000,275000
2024,Feb,West,Apparel,2150000,1290000,215000
2024,Feb,West,Food,1650000,990000,165000
2024,Mar,North,Electronics,2600000,1560000,260000
2024,Mar,North,Apparel,2000000,1200000,200000
2024,Mar,North,Food,1500000,900000,150000
2024,Mar,South,Electronics,2400000,1440000,240000
2024,Mar,South,Apparel,1800000,1080000,180000
2024,Mar,South,Food,1400000,840000,140000
2024,Mar,East,Electronics,2100000,1260000,210000
2024,Mar,East,Apparel,1600000,960000,160000
2024,Mar,East,Food,1200000,720000,120000
2024,Mar,West,Electronics,2800000,1680000,280000
2024,Mar,West,Apparel,2200000,1320000,220000
2024,Mar,West,Food,1700000,1020000,170000